ChemBL ID,SMILES,Compound Key,Ki,database,Assay ChEMBL ID,Document ChEMBL ID
,COc1cc2c(cc1OC)CN(CCCCn1c3ccccc3c3ccccc31)CC2,,0.04,SRSLDB,,
CHEMBL3262517,COc1cc2c(cc1OC)CN(CCCCNC(=O)c1cn(-c3ccccc3OC)nn1)CC2,,1.5,SRSLDB,,
CHEMBL272603,S=c1sc2ccccc2n1CCCCN1CCN(C2CCCCC2)CC1,CM156 (24),0.55,SRSLDB,,
CHEMBL3262519,COc1ccc(-n2cc(C(=O)NCCCCN3CCc4cc(OC)c(OC)cc4C3)nn2)cc1,,5.5,SRSLDB,,
CHEMBL3262518,COc1cccc(-n2cc(C(=O)NCCCCN3CCc4cc(OC)c(OC)cc4C3)nn2)c1,,3.0,SRSLDB,,
CHEMBL3262526,COc1cc2c(cc1OC)CN(CCCCNC(=O)c1cn(Cc3ccc(O)cc3)nn1)CC2,,11.6,SRSLDB,,
,O=c1oc2ccc(-c3ccc(F)cc3)cc2n1CCCCN1CCN(C2CCCCC2)CC1,,0.0061,SRSLDB,,
CHEMBL3262521,COc1ccccc1Cn1cc(C(=O)NCCCCN2CCc3cc(OC)c(OC)cc3C2)nn1,,9.69999999999999,SRSLDB,,
CHEMBL3262516,COc1cc2c(cc1OC)CN(CCCCNC(=O)c1cn(-c3ccc(OCCF)cc3)nn1)CC2,,21.9,SRSLDB,,
CHEMBL1927699,COc1cc2c(cc1OC)CN(CCCCNC(=O)c1ccccc1)CC2,,5290.0,SRSLDB,,
,Fc1ccc(C2(NCCCOC3CCCCO3)CC3CCC2C3)cc1,,5.5,SRSLDB,,
CHEMBL1682080,COc1cc2c(cc1OC)CN(CCCCNC(=O)c1cc(Br)cc(OC)c1OC)C2,,0.82,SRSLDB,,
CHEMBL226540,COc1cc2c(cc1OC)CN(CCCCNC(=O)c1cc(Br)ccc1OCCF)CC2,,0.65,SRSLDB,,
CHEMBL387741,COc1cc2c(cc1OC)CN(CCCCNC(=O)c1cc(I)ccc1OCCF)CC2,,1.06,SRSLDB,,
CHEMBL3262522,COc1cccc(Cn2cc(C(=O)NCCCCN3CCc4cc(OC)c(OC)cc4C3)nn2)c1,,10.7,SRSLDB,,
CHEMBL1831166,COc1cc2c(cc1OC)CN(CCCCn1cc(-c3ccc(F)cc3)c3ccccc31)CC2,,4.37,SRSLDB,,
,c1ccc(C2(NCCCN3CCCCC3)CC3CCC2C3)cc1,,9.6,SRSLDB,,
